label,pattern
PERSON,Henri I
PERSON,Henri II
PERSON,Henri III
PERSON,Henri IV
PERSON,Henri V
PERSON,Henri VI
PERSON,Henri VII
PERSON,Charles I
PERSON,Charles II
PERSON,Charles III
PERSON,Charles IV
PERSON,Charles V
PERSON,Charles VI
PERSON,Charles VII
PERSON,Charles VIII
PERSON,Charles IX
PERSON,Charles X
PERSON,Prince Eugene
PERSON,Empress Josephine
PERSON,Ferdinand I
PERSON,Ferdinand II
PERSON,Ferdinand III
PERSON,Ferdinand IV
PERSON,Ferdinand V
PERSON,Ferdinand VI
PERSON,Ferdinand VII
PERSON,Ferdinand VIII
PERSON,Ferdinand IX
PERSON,Ferdinand I
PERSON,Ferdinand II
PERSON,Ferdinand Philippe
PERSON,Eugene Delacroix
PERSON,Gabriel Jean Anne Victor Benjamin George Ferdinand Charles Edward Rusticoli
PERSON,Mademoiselle Jeanne-Clémentine-Athénaïs de Blamont-Chauvry
PERSON,Madame Jeanne-Clémentine-Athénaïs de Blamont-Chauvry
PERSON,Mlle. Jeanne-Clémentine-Athénaïs de Blamont-Chauvry
PERSON,Mlle Jeanne-Clémentine-Athénaïs de Blamont-Chauvry
PERSON,Mme. Jeanne-Clémentine-Athénaïs de Blamont-Chauvry
PERSON,Mme Jeanne-Clémentine-Athénaïs de Blamont-Chauvry
PERSON,Mademoiselle Jeanne-Clémentine-Athénaïs d'Espard
PERSON,Mademoiselle Jeanne-Clementine-Athenais d'Espard
PERSON,Jeanne-Clémentine-Athénaïs de Blamont-Chauvry
PERSON,Mademoiselle Marie-Louise Anaïs de Bargeton
PERSON,Mademoiselle Clara-Léontine de Ronquerolles
PERSON,Mademoiselle Clara-Leontine de Ronquerolles
PERSON,Madame Jeanne-Clémentine-Athénaïs d'Espard
PERSON,Madame Jeanne-Clementine-Athenais d'Espard
PERSON,Mlle. Jeanne-Clémentine-Athénaïs d'Espard
PERSON,Mlle. Jeanne-Clementine-Athenais d'Espard
PERSON,Mlle Jeanne-Clémentine-Athénaïs d'Espard
PERSON,Mme. Jeanne-Clémentine-Athénaïs d'Espard
PERSON,Mlle Jeanne-Clementine-Athenais d'Espard
PERSON,Mme. Jeanne-Clementine-Athenais d'Espard
PERSON,Mme Jeanne-Clémentine-Athénaïs d'Espard
PERSON,Mme Jeanne-Clementine-Athenais d'Espard
PERSON,Mademoiselle Jeanne-Clémentine-Athénaïs
PERSON,Mademoiselle Jeanne Clementine Athenais
PERSON,Mademoiselle Jeanne de Blamont-Chauvry
PERSON,Charles-Maurice de Talleyrand-Perigord
PERSON,Mademoiselle Marie-Louise du Châtelet
PERSON,Mademoiselle Marie-Louise de Chatelet
PERSON,Mademoiselle Marie-Louise de Bargeton
PERSON,Madame Marie-Louise Anaïs de Bargeton
PERSON,Madame Clara-Léontine de Ronquerolles
PERSON,Mademoiselle Leontine de Ronquerolles
PERSON,Mademoiselle Léontine de Ronquerolles
PERSON,Madame Clara-Leontine de Ronquerolles
