character,novel,frequency
Andoche Finot,A PRINCE OF BOHEMIA,1
Andoche Finot,THE DEPUTY OF ARCIS,1
Andoche Finot,A DAUGHTER OF EVE,3
Andoche Finot,URSULA,2
Andoche Finot,SCENES FROM A COURTESANS LIFE,22
Andoche Finot,THE TWO BROTHERS,20
Andoche Finot,BUREAUCRACY,5
Andoche Finot,THE ILLUSTRIOUS GAUDISSART,2
Andoche Finot,THE MAGIC SKIN,4
Andoche Finot,A DISTINGUISHED PROVINCIAL AT PARIS,180
Andoche Finot,THE FIRM OF NUCINGEN,51
Andoche Finot,BEATRIX,10
Andoche Finot,RISE AND FALL OF CESAR BIROTTEAU,31
Andoche Finot,THE MUSE OF THE DEPARTMENT,1
Andoche Finot,A START IN LIFE,4
Comte Clément des Lupeaulx,A PRINCE OF BOHEMIA,1
Comte Clément des Lupeaulx,THE LESSER BOURGEOISIE,2
Comte Clément des Lupeaulx,THE DEPUTY OF ARCIS,1
Comte Clément des Lupeaulx,URSULA,1
Comte Clément des Lupeaulx,SCENES FROM A COURTESANS LIFE,18
Comte Clément des Lupeaulx,THE TWO BROTHERS,2
Comte Clément des Lupeaulx,BUREAUCRACY,224
Comte Clément des Lupeaulx,A DISTINGUISHED PROVINCIAL AT PARIS,37
Comte Clément des Lupeaulx,THE FIRM OF NUCINGEN,3
Comte Clément des Lupeaulx,EVE AND DAVID,1
Comte Clément des Lupeaulx,RISE AND FALL OF CESAR BIROTTEAU,1
Comte Clément des Lupeaulx,THE MUSE OF THE DEPARTMENT,3
Comte Clément des Lupeaulx,THE COLLECTION OF ANTIQUITIES,3
Comte Clément des Lupeaulx,EUGENIE GRANDET,1
Comte Clément des Lupeaulx,SONS OF THE SOIL,6
Comte Maxime de Trailles,A PRINCE OF BOHEMIA,1
Comte Maxime de Trailles,THE DEPUTY OF ARCIS,151
Comte Maxime de Trailles,UNCONSCIOUS COMEDIANS,12
Comte Maxime de Trailles,URSULA,3
Comte Maxime de Trailles,SCENES FROM A COURTESANS LIFE,2
Comte Maxime de Trailles,THE MARRIAGE CONTRACT,2
Comte Maxime de Trailles,THE TWO BROTHERS,2
Comte Maxime de Trailles,GOBSECK,15
Comte Maxime de Trailles,BUREAUCRACY,1
Comte Maxime de Trailles,THE SECRETS OF THE PRINCESSE DE CADIGNAN,11
Comte Maxime de Trailles,THE COMMISSION IN LUNACY,2
Comte Maxime de Trailles,A DISTINGUISHED PROVINCIAL AT PARIS,2
Comte Maxime de Trailles,COUSIN BETTY,2
Comte Maxime de Trailles,FATHER GORIOT,54
Comte Maxime de Trailles,BEATRIX,103
Comte Maxime de Trailles,RISE AND FALL OF CESAR BIROTTEAU,2
Comte Maxime de Trailles,THE COLLECTION OF ANTIQUITIES,1
Comte Maxime de Trailles,A MAN OF BUSINESS,43
Comte Maxime de Trailles,PAZ,1
Duc de Rhétoré,A PRINCE OF BOHEMIA,2
Duc de Rhétoré,LETTERS OF TWO BRIDES,4
Duc de Rhétoré,THE DEPUTY OF ARCIS,17
Duc de Rhétoré,SCENES FROM A COURTESANS LIFE,4
Duc de Rhétoré,THE TWO BROTHERS,2
Duc de Rhétoré,BUREAUCRACY,1
Duc de Rhétoré,A DISTINGUISHED PROVINCIAL AT PARIS,7
Duc de Rhétoré,BEATRIX,1
Duc de Rhétoré,ALBERT SAVARUS,2
Duc de Rhétoré,MODESTE MIGNON,5
Etienne Lousteau,A PRINCE OF BOHEMIA,2
Etienne Lousteau,THE LESSER BOURGEOISIE,13
Etienne Lousteau,THE DEPUTY OF ARCIS,3
Etienne Lousteau,A DAUGHTER OF EVE,6
Etienne Lousteau,UNCONSCIOUS COMEDIANS,2
Etienne Lousteau,SCENES FROM A COURTESANS LIFE,7
Etienne Lousteau,THE TWO BROTHERS,34
Etienne Lousteau,A DISTINGUISHED PROVINCIAL AT PARIS,268
Etienne Lousteau,COUSIN BETTY,9
Etienne Lousteau,THE FIRM OF NUCINGEN,1
Etienne Lousteau,EVE AND DAVID,7
Etienne Lousteau,BEATRIX,7
Etienne Lousteau,THE MUSE OF THE DEPARTMENT,296
Etienne Lousteau,A MAN OF BUSINESS,5
Eugène de Rastignac,A PRINCE OF BOHEMIA,1
Eugène de Rastignac,THE BALL AT SCEAUX,1
Eugène de Rastignac,THE LESSER BOURGEOISIE,2
Eugène de Rastignac,THE DEPUTY OF ARCIS,110
Eugène de Rastignac,A DAUGHTER OF EVE,27
Eugène de Rastignac,MELMOTH RECONCILED,1
Eugène de Rastignac,UNCONSCIOUS COMEDIANS,3
Eugène de Rastignac,URSULA,8
Eugène de Rastignac,SCENES FROM A COURTESANS LIFE,68
Eugène de Rastignac,THE MARRIAGE CONTRACT,1
Eugène de Rastignac,THE TWO BROTHERS,3
Eugène de Rastignac,THE SECRETS OF THE PRINCESSE DE CADIGNAN,25
Eugène de Rastignac,THE COMMISSION IN LUNACY,25
Eugène de Rastignac,THE MAGIC SKIN,45
Eugène de Rastignac,A DISTINGUISHED PROVINCIAL AT PARIS,32
Eugène de Rastignac,COUSIN BETTY,6
Eugène de Rastignac,THE VILLAGE RECTOR,13
Eugène de Rastignac,AN HISTORICAL MYSTERY,3
Eugène de Rastignac,THE FIRM OF NUCINGEN,67
Eugène de Rastignac,FATHER GORIOT,641
