Character,Gender,Social Class,Character Description,Name Variants,Major Appearances,Minor Appearances
Andoche Finot,male,Bourgeoisie ,"Newspaper editor and businessman
Son of a hatter
Eventually ascends to newspaper owner and a commerical force
Usually features with journalists or financiers (Gaudissart, des Lupeaulx)","Andoche Finot, Finot, M. Finot, Monsieur Finot, M Finot","['SCENES FROM A COURTESANS LIFE', 'THE TWO BROTHERS', 'BUREAUCRACY', 'A DISTINGUISHED PROVINCIAL AT PARIS', 'THE FIRM OF NUCINGEN', 'BEATRIX', 'RISE AND FALL OF CESAR BIROTTEAU']","['A PRINCE OF BOHEMIA', 'THE DEPUTY OF ARCIS', 'A DAUGHTER OF EVE', 'URSULA', 'THE ILLUSTRIOUS GAUDISSART', 'THE MAGIC SKIN', 'THE MUSE OF THE DEPARTMENT', 'A START IN LIFE']"
Baron de Canalis,male,State/Imperial Nobility ,"Famous poet who rises to social prominence 
Ascends social ranks & administrative roles aided by his affair with the Duchesse de Chaulieu
Often features in high society scenes 
Often mentioned in the context of his poetry and songs
","Baron de Canalis, Monsieur de Canalis, M de Canalis, de Canalis, Canalis","['THE DEPUTY OF ARCIS', 'UNCONSCIOUS COMEDIANS', 'A DISTINGUISHED PROVINCIAL AT PARIS', 'BEATRIX', 'MODESTE MIGNON']","['LETTERS OF TWO BRIDES', 'HONORINE', 'SCENES FROM A COURTESANS LIFE', 'BUREAUCRACY', 'THE SECRETS OF THE PRINCESSE DE CADIGNAN', 'THE MAGIC SKIN', 'THE MUSE OF THE DEPARTMENT', 'TWO POETS', 'A START IN LIFE', 'ANOTHER STUDY OF WOMAN', 'THE COLLECTION OF ANTIQUITIES', 'ALBERT SAVARUS']"
Baron de Nucingen,male,State/Imperial Nobility ,"Wealthy banker and financier, connects multiple characters and plots via financing
Financial bougeoisie by social role; Alsatian by birth, first rises to wealth and prominence during the Restoration 
Husband of Delphine 
Lover of Esther van Gobseck, with whom he is passionately obsessed
Close associate of du Tillet and of Rastignac (who eventually becomes his son-in-law)
Balzac uses his name as a stand-in for wealth (""a Nucingen"") ","Baron de Nucingen, Monsieur de Nucingen, M de Nucingen, de Nucingen, Baron Frederic de Nucingen, Frederic de Nucingen, Nucingen, Frederic Nucingen","['THE BROTHERHOOD OF CONSOLATION', 'THE DEPUTY OF ARCIS', 'A DAUGHTER OF EVE', 'MELMOTH RECONCILED', 'UNCONSCIOUS COMEDIANS', 'SCENES FROM A COURTESANS LIFE', 'THE TWO BROTHERS', 'BUREAUCRACY', 'COUSIN BETTY', 'THE FIRM OF NUCINGEN', 'FATHER GORIOT', 'RISE AND FALL OF CESAR BIROTTEAU', 'ANOTHER STUDY OF WOMAN']","['THE LESSER BOURGEOISIE', 'SARRASINE', 'GOBSECK', 'THE SECRETS OF THE PRINCESSE DE CADIGNAN', 'THE COMMISSION IN LUNACY', 'A DISTINGUISHED PROVINCIAL AT PARIS', 'THE GIRL WITH THE GOLDEN EYES', 'PIERRETTE', 'EVE AND DAVID', 'THE THIRTEEN', 'BEATRIX', 'THE MUSE OF THE DEPARTMENT', 'STUDY OF A WOMAN', 'THE COLLECTION OF ANTIQUITIES', 'EUGENIE GRANDET', 'SONS OF THE SOIL', 'A MAN OF BUSINESS', 'PAZ']"
Baronne Delphine de Nucingen,female,State/Imperial Nobility ,"Social-climbing daughter of old Goriot, a wealthy vermicelli manufacturer
Financial bougeoisie by social role; becomes a society salon leader over time
Wife of Nucingen
Former lover of Henri de Marsay
Longtime lover (and later mother-in-law) of Rastignac ","Baronne Delphine de Nucingen, Madame Delphine de Nucingen, Mme Delphine de Nucingen, Delphine, Delphine de Nucingen","['THE DEPUTY OF ARCIS', 'A DAUGHTER OF EVE', 'SCENES FROM A COURTESANS LIFE', 'THE FIRM OF NUCINGEN', 'FATHER GORIOT', 'RISE AND FALL OF CESAR BIROTTEAU']","['BUREAUCRACY', 'THE SECRETS OF THE PRINCESSE DE CADIGNAN', 'THE THIRTEEN', 'ANOTHER STUDY OF WOMAN']"
Baronne Marie-Louise du Châtelet,female,Old Aristocracy,"Social leader of Angouleme from provincial minor nobility
Becomes Baronne du Chatelet on her second marriage to Baron Sixte du Chatelet
Former lover of Lucien de Rubempre
Cousin of Marquise d'Espard","Baronne Marie-Louise du Châtelet, Baronne Marie-Louise de Chatelet, Madame Marie-Louise du Châtelet, Mme Marie-Louise du Châtelet,
 Marie-Louise de Bargeton, Marie-Louise Anaïs de Bargeton,
 Madame de Bargeton,baronne du Châtelet, baronne du Chatelet, Baronne du Châtelet, Baronne du Chatelet, Louise de Negrepelesse, Louise de Nègrepelisse,
 Mme de Bargeton, Marie-Louise de Chatelet, Mme Marie-Louise du Châtelet, Madame du Chatelet, Madame du Châtelet, Louise du Chatelet","['SCENES FROM A COURTESANS LIFE', 'A DISTINGUISHED PROVINCIAL AT PARIS', 'EVE AND DAVID', 'TWO POETS']",['BUREAUCRACY']
Charles Claparon,male,Bourgeoisie ,"Commercial traveler and banker
Close associate of Ferdinand du Tillet and Nucingen, involved in less savory dealings
Eventually becomes bankrupt and emigrates","Charles Claparon, Claparon, M Claparon, Monsieur Claparon","['THE LESSER BOURGEOISIE', 'MELMOTH RECONCILED', 'THE TWO BROTHERS', 'THE FIRM OF NUCINGEN', 'RISE AND FALL OF CESAR BIROTTEAU', 'A MAN OF BUSINESS']",[]
Claude Vignon,male,Bourgeoisie ,"Newspaper critic famed for his wit and insight
Often features with other journalists 
Long-time lover of Mademoiselle des Touches
Mentor of the courtesan La Schontz (who becomes Mme. du Ronceret)","Claude Vignon, Vignon, M. Vignon, Monsieur Vignon","['UNCONSCIOUS COMEDIANS', 'A DISTINGUISHED PROVINCIAL AT PARIS', 'COUSIN BETTY', 'BEATRIX']","['A DAUGHTER OF EVE', 'HONORINE', 'THE MAGIC SKIN', 'THE MUSE OF THE DEPARTMENT']"
Comte Clément des Lupeaulx,male,Old Aristocracy,"Son of a wealthy father ennobled under Louis XV
Politician who rises through social and administrative ranks, holds multiple high offices (Council of State, Finance Ministry, National Guard)
Powerful political intermediary for aristocratic interests
Socially prominent liberatine, usually features in high society scenes","Clement Chardin des Lupeaulx, Clément Chardin, Clement Chardin, Clément Chardin des Lupeaulx, Clement Chardin des Lupeaulx, des Lupeaulx, Comte des Lupeaulx, Lupeaulx","['SCENES FROM A COURTESANS LIFE', 'BUREAUCRACY', 'A DISTINGUISHED PROVINCIAL AT PARIS', 'SONS OF THE SOIL']","['A PRINCE OF BOHEMIA', 'THE LESSER BOURGEOISIE', 'THE DEPUTY OF ARCIS', 'URSULA', 'THE TWO BROTHERS', 'THE FIRM OF NUCINGEN', 'EVE AND DAVID', 'RISE AND FALL OF CESAR BIROTTEAU', 'THE MUSE OF THE DEPARTMENT', 'THE COLLECTION OF ANTIQUITIES', 'EUGENIE GRANDET']"
Comte de Granville,male,Old Aristocracy,"Head of a wealthy aristocratic family
Magistrate with important judicial & administrative roles
Unhappily married to Angelique de Granville 
Becomes father-in-law of Felix de Vandenesse and of Ferdinand du Tillet","Comte de Granville, Monsieur de Granville, M de Granville, de Granville, Grandville, Granville, Comte de Grandville, Monsieur de Grandville, Vicomte de Grandville","['A DAUGHTER OF EVE', 'HONORINE', 'SCENES FROM A COURTESANS LIFE', 'AN HISTORICAL MYSTERY', 'A SECOND HOME', 'RISE AND FALL OF CESAR BIROTTEAU']","['THE LESSER BOURGEOISIE', 'THE DEPUTY OF ARCIS', 'THE MARRIAGE CONTRACT', 'BUREAUCRACY', 'THE FIRM OF NUCINGEN']"
Comte de Serizy,male,Old Aristocracy,"Powerful society leader from an aristocratic family
Became a count under the Empire and succeeded to several high government posts
Husband of Madame de Serizy, unhappily married
","Comte de Serizy, Monsieur de Serizy, M de Serizy, Comte Hugret de Serizy, Hugret de Serizy,
 Comte de Sérisy, Monsieur de Sérisy, M. de Sérisy, Comte de Sérizy,
 Monsieur de Sérizy, Hugret de Sérisy, Hugret de Sérizy, M de Sérizy, Hugret Serizy, Serizy, Serisy
","['HONORINE', 'SCENES FROM A COURTESANS LIFE', 'THE TWO BROTHERS', 'A START IN LIFE']","['THE MARRIAGE CONTRACT', 'BUREAUCRACY', 'THE SECRETS OF THE PRINCESSE DE CADIGNAN', 'THE COMMISSION IN LUNACY', 'FATHER GORIOT', 'SONS OF THE SOIL', 'MODESTE MIGNON']"
