id,label,type,color,shape,size,scene
Andoche Finot,Andoche Finot,character,skyblue,dot,25,
A PRINCE OF BOHEMIA,A PRINCE OF BOHEMIA,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
THE DEPUTY OF ARCIS,THE DEPUTY OF ARCIS,novel,goldenrod,square,50,SCENES DE LA VIE POLITIQUE
A DAUGHTER OF EVE,A DAUGHTER OF EVE,novel,blue,square,50,SCENES DE LA VIE PRIVEE
URSULA,URSULA,novel,sandybrown,square,40,SCENES DE LA VIE PROVINCE
SCENES FROM A COURTESANS LIFE,SCENES FROM A COURTESANS LIFE,novel,#FF6F61,square,50,SCENES DE LA VIE PARISIENNE
THE TWO BROTHERS,THE TWO BROTHERS,novel,sandybrown,square,50,SCENES DE LA VIE PROVINCE
BUREAUCRACY,BUREAUCRACY,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
THE ILLUSTRIOUS GAUDISSART,THE ILLUSTRIOUS GAUDISSART,novel,sandybrown,square,10,SCENES DE LA VIE PROVINCE
THE MAGIC SKIN,THE MAGIC SKIN,novel,plum,square,40,ETUDES PHILOSOPHIQUES
A DISTINGUISHED PROVINCIAL AT PARIS,A DISTINGUISHED PROVINCIAL AT PARIS,novel,sandybrown,square,50,SCENES DE LA VIE PROVINCE
THE FIRM OF NUCINGEN,THE FIRM OF NUCINGEN,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
BEATRIX,BEATRIX,novel,blue,square,50,SCENES DE LA VIE PRIVEE
RISE AND FALL OF CESAR BIROTTEAU,RISE AND FALL OF CESAR BIROTTEAU,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
THE MUSE OF THE DEPARTMENT,THE MUSE OF THE DEPARTMENT,novel,sandybrown,square,50,SCENES DE LA VIE PROVINCE
A START IN LIFE,A START IN LIFE,novel,blue,square,40,SCENES DE LA VIE PRIVEE
Comte Clément des Lupeaulx,Comte Clément des Lupeaulx,character,skyblue,dot,25,
THE LESSER BOURGEOISIE,THE LESSER BOURGEOISIE,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
EVE AND DAVID,EVE AND DAVID,novel,sandybrown,square,40,SCENES DE LA VIE PROVINCE
THE COLLECTION OF ANTIQUITIES,THE COLLECTION OF ANTIQUITIES,novel,sandybrown,square,40,SCENES DE LA VIE PROVINCE
EUGENIE GRANDET,EUGENIE GRANDET,novel,sandybrown,square,20,SCENES DE LA VIE PROVINCE
SONS OF THE SOIL,SONS OF THE SOIL,novel,mediumseagreen,square,40,SCENES DE LA VIE DE CAMPAGNE
Comte Maxime de Trailles,Comte Maxime de Trailles,character,skyblue,dot,30,
UNCONSCIOUS COMEDIANS,UNCONSCIOUS COMEDIANS,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
THE MARRIAGE CONTRACT,THE MARRIAGE CONTRACT,novel,blue,square,30,SCENES DE LA VIE PRIVEE
GOBSECK,GOBSECK,novel,blue,square,10,SCENES DE LA VIE PRIVEE
THE SECRETS OF THE PRINCESSE DE CADIGNAN,THE SECRETS OF THE PRINCESSE DE CADIGNAN,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
THE COMMISSION IN LUNACY,THE COMMISSION IN LUNACY,novel,blue,square,40,SCENES DE LA VIE PRIVEE
COUSIN BETTY,COUSIN BETTY,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
FATHER GORIOT,FATHER GORIOT,novel,#FF6F61,square,40,SCENES DE LA VIE PARISIENNE
A MAN OF BUSINESS,A MAN OF BUSINESS,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE
PAZ,PAZ,novel,blue,square,30,SCENES DE LA VIE PRIVEE
Duc de Rhétoré,Duc de Rhétoré,character,skyblue,dot,10,
LETTERS OF TWO BRIDES,LETTERS OF TWO BRIDES,novel,blue,square,30,SCENES DE LA VIE PRIVEE
ALBERT SAVARUS,ALBERT SAVARUS,novel,blue,square,20,SCENES DE LA VIE PRIVEE
MODESTE MIGNON,MODESTE MIGNON,novel,blue,square,40,SCENES DE LA VIE PRIVEE
Etienne Lousteau,Etienne Lousteau,character,skyblue,dot,30,
Eugène de Rastignac,Eugène de Rastignac,character,skyblue,dot,40,
THE BALL AT SCEAUX,THE BALL AT SCEAUX,novel,blue,square,20,SCENES DE LA VIE PRIVEE
MELMOTH RECONCILED,MELMOTH RECONCILED,novel,plum,square,20,ETUDES PHILOSOPHIQUES
THE VILLAGE RECTOR,THE VILLAGE RECTOR,novel,mediumseagreen,square,20,SCENES DE LA VIE DE CAMPAGNE
AN HISTORICAL MYSTERY,AN HISTORICAL MYSTERY,novel,goldenrod,square,30,SCENES DE LA VIE POLITIQUE
ANOTHER STUDY OF WOMAN,ANOTHER STUDY OF WOMAN,novel,blue,square,40,SCENES DE LA VIE PRIVEE
STUDY OF A WOMAN,STUDY OF A WOMAN,novel,blue,square,20,SCENES DE LA VIE PRIVEE
Ferdinand du Tillet,Ferdinand du Tillet,character,skyblue,dot,25,
THE BROTHERHOOD OF CONSOLATION,THE BROTHERHOOD OF CONSOLATION,novel,goldenrod,square,20,SCENES DE LA VIE POLITIQUE
PIERRETTE,PIERRETTE,novel,sandybrown,square,20,SCENES DE LA VIE PROVINCE
A WOMAN OF THIRTY,A WOMAN OF THIRTY,novel,blue,square,20,SCENES DE LA VIE PRIVEE
Horace Bianchon,Horace Bianchon,character,skyblue,dot,30,
HONORINE,HONORINE,novel,blue,square,30,SCENES DE LA VIE PRIVEE
COUSIN PONS,COUSIN PONS,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE
THE ATHEISTS MASS,THE ATHEISTS MASS,novel,blue,square,10,SCENES DE LA VIE PRIVEE
A SECOND HOME,A SECOND HOME,novel,blue,square,20,SCENES DE LA VIE PRIVEE
Jean Francois du Bruel,Jean Francois du Bruel,character,skyblue,dot,20,
Jean-Jacques Bixiou,Jean-Jacques Bixiou,character,skyblue,dot,30,
GAUDISSART II,GAUDISSART II,novel,#FF6F61,square,10,SCENES DE LA VIE PARISIENNE
THE PURSE,THE PURSE,novel,blue,square,20,SCENES DE LA VIE PRIVEE
Madame Florine Nathan,Madame Florine Nathan,character,skyblue,dot,25,
Raoul Nathan,Raoul Nathan,character,skyblue,dot,30,
Émile Blondet,Émile Blondet,character,skyblue,dot,30,
Henri de Marsay,Henri de Marsay,character,skyblue,dot,30,
THE DUCHESSE OF LANGEAIS,THE DUCHESSE OF LANGEAIS,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE
THE GIRL WITH THE GOLDEN EYES,THE GIRL WITH THE GOLDEN EYES,novel,#FF6F61,square,20,SCENES DE LA VIE PARISIENNE
THE THIRTEEN,THE THIRTEEN,novel,#FF6F61,square,30,SCENES DE LA VIE PARISIENNE
THE LILY OF THE VALLEY,THE LILY OF THE VALLEY,novel,sandybrown,square,30,SCENES DE LA VIE PROVINCE
Lady Arabella Dudley,Lady Arabella Dudley,character,skyblue,dot,20,
Lord Dudley,Lord Dudley,character,skyblue,dot,10,
Mademoiselle des Touches,Mademoiselle des Touches,character,skyblue,dot,25,
Francois-Claude-Marie Godeschal,Francois-Claude-Marie Godeschal,character,skyblue,dot,20,
COLONEL CHABERT,COLONEL CHABERT,novel,blue,square,10,SCENES DE LA VIE PRIVEE
Charles Claparon,Charles Claparon,character,skyblue,dot,20,
Joseph Bridau,Joseph Bridau,character,skyblue,dot,30,
